X=371; Y=109; Q=338; D=140; Target state: LIVE;
X=371; Y=108; Q=338; D=140; Target state: LIVE;
X=371; Y=108; Q=338; D=141; Target state: LIVE;
X=371; Y=107; Q=338; D=142; Target state: LIVE;
X=371; Y=107; Q=338; D=142; Target state: LIVE;
X=372; Y=106; Q=338; D=143; Target state: LIVE;
X=372; Y=106; Q=338; D=143; Target state: LIVE;
X=372; Y=105; Q=338; D=144; Target state: LIVE;
X=372; Y=105; Q=338; D=144; Target state: LIVE;
X=372; Y=104; Q=338; D=145; Target state: LIVE;
X=373; Y=104; Q=338; D=145; Target state: LIVE;
X=373; Y=103; Q=338; D=146; Target state: LIVE;
X=373; Y=103; Q=338; D=147; Target state: LIVE;
X=373; Y=102; Q=338; D=147; Target state: LIVE;
X=374; Y=102; Q=338; D=148; Target state: LIVE;
X=374; Y=101; Q=338; D=148; Target state: LIVE;
X=374; Y=101; Q=338; D=149; Target state: LIVE;
X=374; Y=100; Q=338; D=149; Target state: LIVE;
X=374; Y=99; Q=338; D=150; Target state: LIVE;
X=375; Y=99; Q=338; D=150; Target state: LIVE;
X=375; Y=98; Q=338; D=151; Target state: LIVE;
X=375; Y=98; Q=338; D=152; Target state: LIVE;
X=375; Y=97; Q=338; D=152; Target state: LIVE;
X=375; Y=97; Q=338; D=153; Target state: LIVE;
X=376; Y=96; Q=338; D=153; Target state: LIVE;
X=376; Y=96; Q=338; D=154; Target state: LIVE;
X=376; Y=95; Q=338; D=154; Target state: LIVE;
X=376; Y=95; Q=338; D=155; Target state: LIVE;
X=376; Y=94; Q=338; D=155; Target state: LIVE;
X=377; Y=94; Q=338; D=156; Target state: LIVE;
X=377; Y=93; Q=338; D=157; Target state: LIVE;
X=377; Y=93; Q=338; D=157; Target state: LIVE;
X=377; Y=92; Q=338; D=158; Target state: LIVE;
X=377; Y=92; Q=338; D=158; Target state: LIVE;
X=378; Y=91; Q=338; D=159; Target state: LIVE;
X=378; Y=91; Q=338; D=159; Target state: LIVE;
X=378; Y=90; Q=338; D=160; Target state: LIVE;
X=378; Y=90; Q=338; D=160; Target state: LIVE;
X=378; Y=89; Q=338; D=161; Target state: LIVE;
X=379; Y=89; Q=338; D=162; Target state: LIVE;
X=379; Y=88; Q=338; D=162; Target state: LIVE;
X=379; Y=88; Q=338; D=163; Target state: LIVE;
X=379; Y=87; Q=338; D=163; Target state: LIVE;
X=379; Y=87; Q=338; D=164; Target state: LIVE;
X=380; Y=86; Q=338; D=164; Target state: LIVE;
X=380; Y=86; Q=338; D=165; Target state: LIVE;
X=380; Y=85; Q=338; D=165; Target state: LIVE;
X=380; Y=84; Q=338; D=166; Target state: LIVE;
X=380; Y=84; Q=338; D=167; Target state: LIVE;
X=381; Y=83; Q=338; D=167; Target state: LIVE;
X=381; Y=83; Q=338; D=168; Target state: LIVE;
X=381; Y=82; Q=338; D=168; Target state: LIVE;
X=381; Y=82; Q=338; D=169; Target state: LIVE;
X=381; Y=81; Q=338; D=169; Target state: LIVE;
X=382; Y=81; Q=338; D=170; Target state: LIVE;
X=382; Y=80; Q=338; D=170; Target state: LIVE;
X=382; Y=80; Q=338; D=171; Target state: LIVE;
X=382; Y=79; Q=338; D=172; Target state: LIVE;
X=382; Y=79; Q=338; D=172; Target state: LIVE;
X=383; Y=78; Q=338; D=173; Target state: LIVE;
X=383; Y=78; Q=338; D=173; Target state: LIVE;
X=383; Y=77; Q=338; D=174; Target state: LIVE;
X=382; Y=76; Q=338; D=175; Target state: LIVE;
X=382; Y=75; Q=339; D=176; Target state: LIVE;
X=381; Y=74; Q=339; D=176; Target state: LIVE;
X=380; Y=74; Q=339; D=176; Target state: LIVE;
X=379; Y=73; Q=339; D=176; Target state: LIVE;
X=378; Y=71; Q=340; D=177; Target state: LIVE;
X=377; Y=70; Q=340; D=178; Target state: LIVE;
X=376; Y=70; Q=341; D=179; Target state: LIVE;
X=376; Y=69; Q=341; D=179; Target state: LIVE;
X=374; Y=69; Q=341; D=179; Target state: LIVE;
X=373; Y=67; Q=342; D=180; Target state: LIVE;
X=372; Y=66; Q=342; D=181; Target state: LIVE;
X=372; Y=65; Q=343; D=182; Target state: LIVE;
X=371; Y=64; Q=343; D=182; Target state: LIVE;
X=370; Y=64; Q=343; D=182; Target state: LIVE;
X=368; Y=63; Q=343; D=183; Target state: LIVE;
X=367; Y=62; Q=344; D=184; Target state: LIVE;
X=367; Y=60; Q=344; D=185; Target state: LIVE;
X=366; Y=60; Q=345; D=185; Target state: LIVE;
X=366; Y=59; Q=345; D=186; Target state: LIVE;
X=364; Y=59; Q=345; D=186; Target state: LIVE;
X=363; Y=58; Q=346; D=187; Target state: LIVE;
X=362; Y=56; Q=346; D=188; Target state: LIVE;
X=362; Y=55; Q=346; D=189; Target state: LIVE;
X=361; Y=54; Q=347; D=189; Target state: LIVE;
X=360; Y=54; Q=347; D=190; Target state: LIVE;
X=359; Y=53; Q=347; D=190; Target state: LIVE;
X=358; Y=52; Q=347; D=191; Target state: LIVE;
X=357; Y=51; Q=348; D=192; Target state: LIVE;
X=356; Y=50; Q=348; D=193; Target state: LIVE;
X=356; Y=49; Q=349; D=194; Target state: LIVE;
X=355; Y=4
